"id","name","unit_measurement","price","description"
"dpr_position_1","Відновлення пошкодженої покрівлі локально","m_sq",512.18,"заміна пошкодженого покрівельного матеріалу - хвилястий шифер або черепиця"
"dpr_position_2","Заміна пошкоджених міжкімнатних дверей","piece",9983.26,"не металеві"
"dpr_position_3","Заміна пошкодженного скління","m_sq","4192.67","без заміни рами вікна, або скління балконів"
"dpr_position_4","Відновлення укосів","m_sq","1342.15","штукатурка, безпіщана підготовка, фарбування"
"dpr_position_5","Відновлення пошкоджених фасадів","m_sq","2347.54","з урахуванням утеплення та зовнішнього оздоблення"
